epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1222.95,2.25119,1.96467,1.61038,0.2539,0.38114,0.25765,0.11656,2.86665,2.71513,1.97132,0.000996313,0.000996313,0.000996313
43,1255.17,2.29067,1.94345,1.60426,0.30159,0.40306,0.2913,0.11808,2.80031,2.57373,1.92767,0.000990125,0.000990125,0.000990125
44,1284.89,2.14931,1.89352,1.532,0.35645,0.39957,0.32871,0.12207,2.81196,2.43122,1.95308,0.000983938,0.000983938,0.000983938
45,1330.77,2.24456,1.89735,1.56261,0.35645,0.39957,0.32871,0.12207,2.81196,2.43122,1.95308,0.00097775,0.00097775,0.00097775
46,1362.98,2.18328,1.86189,1.58584,0.35825,0.43406,0.38629,0.12588,2.85119,2.36497,1.98592,0.000971562,0.000971562,0.000971562
47,1391.51,2.3246,1.88027,1.58769,0.40803,0.41964,0.40195,0.13513,2.83027,2.3669,1.98306,0.000965375,0.000965375,0.000965375
48,1422.39,2.19964,1.82314,1.54907,0.41228,0.38257,0.41096,0.14991,2.82805,2.38574,1.94171,0.000959187,0.000959187,0.000959187
49,1451.12,2.16904,1.78824,1.49937,0.41228,0.38257,0.41096,0.14991,2.82805,2.38574,1.94171,0.000953,0.000953,0.000953
50,1481.05,2.16228,1.82358,1.5023,0.4558,0.35273,0.38912,0.15077,2.81431,2.44936,1.92476,0.000946812,0.000946812,0.000946812
51,1508.83,2.16748,1.83101,1.52499,0.51519,0.3109,0.3884,0.14389,2.84784,2.62304,1.97956,0.000940625,0.000940625,0.000940625
52,1541.18,2.11893,1.76409,1.47896,0.48908,0.35712,0.38517,0.13168,2.86311,2.9266,2.06912,0.000934438,0.000934438,0.000934438
53,1572.76,2.18386,1.80074,1.51726,0.48908,0.35712,0.38517,0.13168,2.86311,2.9266,2.06912,0.00092825,0.00092825,0.00092825
54,1602.96,2.09908,1.68574,1.43262,0.48559,0.36532,0.38722,0.12583,2.89147,2.78204,2.06382,0.000922063,0.000922063,0.000922063
55,1638.35,2.15412,1.71535,1.48736,0.39331,0.31321,0.31794,0.14487,2.86084,2.61252,1.99736,0.000915875,0.000915875,0.000915875
56,1668.57,2.06975,1.75899,1.47169,0.31469,0.3931,0.31061,0.14344,2.83728,2.4692,1.94815,0.000909688,0.000909688,0.000909688
57,1700.49,2.16127,1.79159,1.47894,0.31469,0.3931,0.31061,0.14344,2.83728,2.4692,1.94815,0.0009035,0.0009035,0.0009035
58,1729.78,2.09748,1.73212,1.46471,0.3566,0.33712,0.32202,0.13149,2.83866,2.45211,1.99006,0.000897313,0.000897313,0.000897313
59,1763.19,2.02785,1.70974,1.47229,0.343,0.40137,0.38238,0.13174,2.80662,2.4142,2.00481,0.000891125,0.000891125,0.000891125
60,1796.7,2.03823,1.72404,1.42847,0.26046,0.34246,0.30739,0.13087,2.85941,2.44313,2.03159,0.000884938,0.000884938,0.000884938
61,1826.01,1.96847,1.66325,1.44029,0.26046,0.34246,0.30739,0.13087,2.85941,2.44313,2.03159,0.00087875,0.00087875,0.00087875
62,1867.03,1.98325,1.72977,1.47249,0.28404,0.32099,0.31978,0.14405,2.89491,2.47745,2.05956,0.000872563,0.000872563,0.000872563
63,1901.89,1.96106,1.61835,1.4107,0.32773,0.45735,0.38208,0.1597,2.83941,2.37093,2.03354,0.000866375,0.000866375,0.000866375
64,1936.45,2.01913,1.71029,1.47373,0.40784,0.47872,0.41904,0.15797,2.82451,2.32344,2.03313,0.000860188,0.000860188,0.000860188
65,1965.02,1.96455,1.68771,1.42575,0.40784,0.47872,0.41904,0.15797,2.82451,2.32344,2.03313,0.000854,0.000854,0.000854
66,1993.31,2.15214,1.79374,1.57253,0.41922,0.42915,0.40239,0.1465,2.76336,2.31796,1.98262,0.000847813,0.000847813,0.000847813
67,2021.64,2.16257,1.7561,1.50887,0.37073,0.48054,0.35123,0.14125,2.77705,2.45065,1.95466,0.000841625,0.000841625,0.000841625
68,2050.54,1.92353,1.65192,1.38463,0.376,0.42284,0.33923,0.13813,2.84833,2.45797,1.97393,0.000835438,0.000835438,0.000835438
69,2080.7,2.00027,1.65332,1.40517,0.376,0.42284,0.33923,0.13813,2.84833,2.45797,1.97393,0.00082925,0.00082925,0.00082925
70,2107.91,2.0425,1.78607,1.46446,0.42152,0.46184,0.38291,0.16136,2.84395,2.36235,1.98974,0.000823063,0.000823063,0.000823063
71,2135.5,1.9724,1.62463,1.42243,0.45245,0.48586,0.44361,0.17199,2.79463,2.2938,2.02514,0.000816875,0.000816875,0.000816875
72,2164.81,1.98343,1.6897,1.46961,0.43506,0.48087,0.43669,0.16744,2.76486,2.2601,2.06424,0.000810688,0.000810688,0.000810688
73,2191.42,2.09088,1.68739,1.44896,0.43506,0.48087,0.43669,0.16744,2.76486,2.2601,2.06424,0.0008045,0.0008045,0.0008045
74,2217.16,1.98162,1.6494,1.38868,0.39817,0.45805,0.42049,0.15119,2.79133,2.31117,2.10641,0.000798313,0.000798313,0.000798313
75,2242.57,2.08824,1.70832,1.52738,0.39705,0.4429,0.42741,0.14212,2.79427,2.25377,2.09603,0.000792125,0.000792125,0.000792125
76,2267.03,1.93709,1.64956,1.42487,0.45018,0.49098,0.46118,0.15606,2.78785,2.18154,2.1015,0.000785938,0.000785938,0.000785938
77,2293.6,1.95608,1.5976,1.37558,0.45018,0.49098,0.46118,0.15606,2.78785,2.18154,2.1015,0.00077975,0.00077975,0.00077975
78,2321.23,1.8795,1.52266,1.3659,0.46857,0.47166,0.46566,0.15619,2.77436,2.14475,2.07458,0.000773563,0.000773563,0.000773563
79,2349.23,1.96913,1.58378,1.38754,0.34919,0.48158,0.3998,0.1308,2.86636,2.23283,2.11364,0.000767375,0.000767375,0.000767375
80,2383.3,1.9716,1.5658,1.35989,0.42438,0.36602,0.36133,0.12355,2.89904,2.2624,2.12836,0.000761188,0.000761188,0.000761188
81,2411.98,1.85152,1.50758,1.32337,0.42438,0.36602,0.36133,0.12355,2.89904,2.2624,2.12836,0.000755,0.000755,0.000755
82,2441.93,1.90235,1.54939,1.34758,0.38246,0.37767,0.38554,0.13622,2.87625,2.26068,2.14417,0.000748813,0.000748813,0.000748813
83,2472.69,1.89886,1.50889,1.34643,0.59717,0.41021,0.43599,0.14364,2.83881,2.1991,2.1143,0.000742625,0.000742625,0.000742625
84,2501.69,1.9746,1.55593,1.40373,0.59747,0.44518,0.46384,0.1442,2.82918,2.18968,2.09532,0.000736438,0.000736438,0.000736438
85,2529.5,1.83984,1.56199,1.35898,0.59747,0.44518,0.46384,0.1442,2.82918,2.18968,2.09532,0.00073025,0.00073025,0.00073025
86,2554.47,1.90222,1.53777,1.37622,0.45327,0.40781,0.38519,0.11477,2.84676,2.26061,2.06437,0.000724062,0.000724062,0.000724062
87,2586.21,1.85627,1.48489,1.3583,0.41875,0.35023,0.30245,0.08456,2.91444,2.25197,2.08185,0.000717875,0.000717875,0.000717875
88,2622.44,1.77786,1.47266,1.3075,0.44533,0.33578,0.32594,0.08856,2.91411,2.20767,2.04618,0.000711687,0.000711687,0.000711687
89,2651.94,1.80908,1.46022,1.34964,0.44533,0.33578,0.32594,0.08856,2.91411,2.20767,2.04618,0.0007055,0.0007055,0.0007055
90,2684.05,1.81041,1.4954,1.3193,0.53175,0.42326,0.4692,0.13999,2.83798,2.18285,2.00191,0.000699312,0.000699312,0.000699312
91,2716.98,1.78155,1.42894,1.30073,0.4256,0.50154,0.46914,0.16084,2.81448,2.17702,2.00209,0.000693125,0.000693125,0.000693125
92,2752.84,1.8209,1.46675,1.35673,0.49437,0.47838,0.48535,0.15289,2.80987,2.17548,1.98432,0.000686937,0.000686937,0.000686937
93,2782.23,1.80212,1.47999,1.32897,0.49437,0.47838,0.48535,0.15289,2.80987,2.17548,1.98432,0.00068075,0.00068075,0.00068075
94,2813.42,1.84654,1.46839,1.31848,0.44449,0.48204,0.42882,0.13239,2.82349,2.17637,2.00503,0.000674562,0.000674562,0.000674562
95,2840.96,1.99013,1.54847,1.3821,0.39344,0.44909,0.42479,0.12484,2.85973,2.20051,2.02051,0.000668375,0.000668375,0.000668375
96,2866.34,1.89403,1.49713,1.40852,0.54068,0.36493,0.43297,0.14182,2.86035,2.18012,1.97265,0.000662188,0.000662188,0.000662188
97,2897,1.83492,1.48361,1.32952,0.54068,0.36493,0.43297,0.14182,2.86035,2.18012,1.97265,0.000656,0.000656,0.000656
98,2925.21,1.90068,1.47151,1.34056,0.44596,0.40712,0.41803,0.14971,2.82541,2.1683,1.9687,0.000649813,0.000649813,0.000649813
99,2950.16,1.84339,1.47483,1.331,0.36755,0.47116,0.40655,0.15804,2.79325,2.13009,1.97642,0.000643625,0.000643625,0.000643625
