epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,5283.46,1.36661,1.02811,1.10134,0.5531,0.47068,0.47759,0.16397,2.9356,2.04819,2.08347,0.000142437,0.000142437,0.000142437
181,5308.61,1.42174,1.04632,1.11134,0.5531,0.47068,0.47759,0.16397,2.9356,2.04819,2.08347,0.00013625,0.00013625,0.00013625
182,5337.54,1.38119,1.09947,1.12087,0.56075,0.45932,0.48001,0.16615,2.93245,2.05245,2.09,0.000130062,0.000130062,0.000130062
183,5364.52,1.37885,1.06407,1.10866,0.58272,0.4613,0.48048,0.17877,2.9265,2.06149,2.09126,0.000123875,0.000123875,0.000123875
184,5397.06,1.42389,1.08537,1.12325,0.61578,0.47867,0.49315,0.17905,2.90446,2.04957,2.07354,0.000117687,0.000117687,0.000117687
185,5425.8,1.44372,1.09448,1.14759,0.61578,0.47867,0.49315,0.17905,2.90446,2.04957,2.07354,0.0001115,0.0001115,0.0001115
186,5459.96,1.29537,0.98988,1.05876,0.62541,0.4892,0.51408,0.18078,2.88911,2.03993,2.06186,0.000105312,0.000105312,0.000105312
187,5489.36,1.4299,1.06012,1.11426,0.63494,0.4892,0.51332,0.16928,2.87833,2.02789,2.04359,9.9125e-05,9.9125e-05,9.9125e-05
188,5519.2,1.4634,1.10991,1.14206,0.63727,0.49141,0.51378,0.17037,2.88524,2.02203,2.03925,9.29375e-05,9.29375e-05,9.29375e-05
189,5547.05,1.32451,1.00832,1.07598,0.63727,0.49141,0.51378,0.17037,2.88524,2.02203,2.03925,8.675e-05,8.675e-05,8.675e-05
190,5573.85,1.39788,1.08544,1.09299,0.60929,0.4612,0.46783,0.16591,2.89434,2.01803,2.04021,8.05625e-05,8.05625e-05,8.05625e-05
191,5601.23,1.70574,1.41798,1.27969,0.60213,0.4638,0.47014,0.16085,2.89922,2.02553,2.04408,7.4375e-05,7.4375e-05,7.4375e-05
192,5628.14,1.42986,1.099,1.11799,0.55894,0.42866,0.42055,0.15476,2.91113,2.04455,2.05501,6.81875e-05,6.81875e-05,6.81875e-05
193,5653.99,1.45732,1.20994,1.15526,0.55894,0.42866,0.42055,0.15476,2.91113,2.04455,2.05501,6.2e-05,6.2e-05,6.2e-05
194,5681.29,1.46032,1.12282,1.1166,0.5472,0.45286,0.43748,0.15482,2.92587,2.06202,2.07108,5.58125e-05,5.58125e-05,5.58125e-05
195,5708.06,1.39941,1.11,1.11714,0.5683,0.45286,0.43947,0.15639,2.94511,2.07178,2.08957,4.9625e-05,4.9625e-05,4.9625e-05
196,5734.27,1.53958,1.17798,1.15048,0.5512,0.44004,0.43426,0.15736,2.95502,2.08116,2.09551,4.34375e-05,4.34375e-05,4.34375e-05
197,5762.26,1.3769,1.11866,1.10324,0.5512,0.44004,0.43426,0.15736,2.95502,2.08116,2.09551,3.725e-05,3.725e-05,3.725e-05
198,5788.02,1.53603,1.17794,1.14003,0.55041,0.43911,0.43363,0.15544,2.95245,2.08143,2.10491,3.10625e-05,3.10625e-05,3.10625e-05
199,5815.88,1.23054,0.99054,1.0639,0.44034,0.5196,0.44763,0.15676,2.95844,2.08587,2.10997,2.4875e-05,2.4875e-05,2.4875e-05
200,5839.58,1.46109,1.18415,1.18561,0.45692,0.51765,0.44726,0.15579,2.96721,2.09521,2.1112,1.86875e-05,1.86875e-05,1.86875e-05
